0,Ger007,129.132.201.146,0y0neelrnqaor,12:54:12,13:23:10
Round 0: [13:57:29,13:57:37],[21.6772850168172,-162.68020528317442],-1,false
Round 1: [13:57:55,13:58:00],[-150.4294918826868,25.2130178173216],-1,false
Round 2: [13:58:18,13:58:23],[-99.5403694122788,76.10214028772958],-1,false
Round 3: [13:58:41,13:58:49],[159.94096464573772,-24.41652565425386],-1,false
Round 4: [13:59:04,13:59:13],[122.18262488664837,-62.17486541334324],-1,false
Round 5: [13:59:25,13:59:32],[-26.71400180059934,148.92850789940906],-1,false
Round 6: [13:59:47,13:59:57],[124.88463143350516,-59.47285886648643],-1,false
Round 7: [14:00:09,14:00:12],[93.48390264620978,-90.87358765378184],-1,false
Round 8: [14:00:30,14:00:34],[-105.65737646415722,69.98513323585117],-1,false
Round 9: [14:01:01,14:01:07],[-21.484238825873277,154.1582708741351],-1,false
1,Lukasei,129.132.201.144,1ylnasq3erk9,12:54:12,13:23:49
Round 0: [13:57:29,13:57:37],[68.34895788515742,9.468284779367544],-1,false
Round 1: [13:57:55,13:57:58],[64.60039385157283,5.719720745782958],-1,false
Round 2: [13:58:19,13:58:26],[62.38124665385714,3.5005735480672655],-1,false
Round 3: [13:58:41,13:58:50],[63.65077830748642,4.770105201696545],-1,false
Round 4: [13:59:05,13:59:14],[62.3982776376496,3.5176045318597247],-1,false
Round 5: [13:59:26,13:59:32],[64.86618855134078,5.985515445550909],-1,false
Round 6: [13:59:47,13:59:57],[69.50095405188424,10.620280946094361],-1,false
Round 7: [14:00:09,14:00:13],[68.5195900502586,9.638916944468725],-1,false
Round 8: [14:00:31,14:00:37],[67.40452286641622,8.52384976062634],-1,false
Round 9: [14:01:01,14:01:09],[66.53895849675605,7.658285390966178],-1,false
2,Lizzy,129.132.201.151,0d3607ug9o1or,12:54:12,13:24:06
Round 0: [13:57:28,13:57:40],[179.1756254067743,30.35961962406634],-1,false
Round 1: [13:57:55,13:58:11],[168.71693943793744,19.900933655229494],-1,false
Round 2: [13:58:17,13:58:32],[168.6923573448334,19.87635156212545],-1,false
Round 3: [13:58:41,13:58:58],[162.2935060153694,13.477500232661441],-1,false
Round 4: [13:59:04,13:59:13],[155.0375517198641,6.221545937156151],-1,false
Round 5: [13:59:25,13:59:42],[144.5132618913762,-4.302743891331744],-1,false
Round 6: [13:59:48,14:00:04],[138.75686665213232,-10.05913913057563],-1,false
Round 7: [14:00:10,14:00:13],[156.24813126481217,7.432125482104226],-1,false
Round 8: [14:00:31,14:00:58],[117.10053259476592,-31.715473187942024],-1,false
Round 9: [14:01:01,14:01:06],[141.8510781310793,-6.964927651628642],-1,false
3,08,129.132.201.148,dajwn0qczbyb9,12:54:12,13:24:01
Round 0: [13:57:29,13:57:40],[-172.08915674259055,174.9862399944532],-1,false
Round 1: [13:57:55,13:57:59],[2.781676363529609,-10.142926899426636],-1,false
Round 2: [13:58:17,13:58:23],[6.321016582416256,-6.603586680539989],-1,false
Round 3: [13:58:41,13:58:44],[1.5184788330413799,-11.406124429914865],-1,false
Round 4: [13:59:05,13:59:10],[-8.468215981072161,-21.392819244028406],-1,false
Round 5: [13:59:25,13:59:29],[3.0368300813474787,-9.887773181608766],-1,false
Round 6: [13:59:47,13:59:52],[5.712594547541336,-7.212008715414909],-1,false
Round 7: [14:00:10,14:00:22],[7.70743418485265,-5.217169078103595],-1,false
Round 8: [14:00:31,14:00:42],[9.412272645569292,-3.5123306173869526],-1,false
Round 9: [14:01:03,14:01:16],[10.84626235019214,-2.078340912764105],-1,false
4,Jacky,129.132.201.143,d81zmziksxlxr,12:54:12,13:23:32
Round 0: [13:57:29,13:57:33],[-101.54545937390165,-24.379445491468232],-1,false
Round 1: [13:57:54,13:58:00],[-125.22922625548664,-48.06321237305322],-1,false
Round 2: [13:58:18,13:58:26],[-90.29506266258679,-13.129048780153369],-1,false
Round 3: [13:58:41,13:58:56],[-97.6025037477543,-20.43648986532088],-1,false
Round 4: [13:59:05,13:59:16],[-40.46222975016363,36.70378413226979],-1,false
Round 5: [13:59:25,13:59:32],[83.90486884731365,161.07088272974707],-1,false
Round 6: [13:59:47,13:59:55],[-46.034793977601936,31.131219904831482],-1,false
Round 7: [14:00:10,14:00:15],[-109.51342608011363,-32.347412197680214],-1,false
Round 8: [14:00:30,14:00:44],[177.85554137877716,-104.97844473878942],-1,false
Round 9: [14:01:02,14:01:13],[-76.8142641198481,0.3517497625853139],-1,false
5,Haha,129.132.201.150,l5i6l6twng66r,12:54:12,13:23:09
Round 0: [13:57:28,13:57:31],[-76.41186906335236,23.435675265134734],-1,false
Round 1: [13:57:55,13:57:58],[-73.44778205008528,26.39976227840181],-1,false
Round 2: [13:58:19,13:58:23],[-71.21107487982553,28.636469448661558],-1,false
Round 3: [13:58:41,13:58:44],[-86.31472185564282,13.532822472844273],-1,false
Round 4: [13:59:05,13:59:09],[-88.18289429667823,11.664650031808861],-1,false
Round 5: [13:59:27,13:59:34],[-85.75989472389014,14.087649604596947],-1,false
Round 6: [13:59:49,13:59:54],[-101.43650718232747,-1.5889628538403855],-1,false
Round 7: [14:00:09,14:00:14],[-103.82274855801492,-3.975204229527833],-1,false
Round 8: [14:00:29,14:00:36],[-101.72203704532606,-1.8744927168389722],-1,false
Round 9: [14:01:00,14:01:06],[-99.5597352635366,0.2878090649504941],-1,false
6,Smriti,129.132.201.149,dqyvxo8icz0k9,12:54:12,13:24:04
Round 0: [13:57:28,13:57:30],[-39.69851195624488,144.0813560898622],-1,false
Round 1: [13:57:54,13:58:01],[-26.964312470672763,156.81555557543433],-1,false
Round 2: [13:58:19,13:58:22],[177.26305055307506,1.0429185991821441],-1,false
Round 3: [13:58:40,13:58:51],[177.26195476046334,1.0418228065704227],-1,false
Round 4: [13:59:06,13:59:19],[177.2595392497238,1.0394072958308698],-1,false
Round 5: [13:59:26,13:59:34],[177.46830528071854,1.248173326825622],-1,false
Round 6: [13:59:49,13:59:56],[175.57652668574997,-0.6436052681429487],-1,false
Round 7: [14:00:08,14:00:20],[175.5930887787833,-0.6270431751096055],-1,false
Round 8: [14:00:29,14:00:33],[175.2833059438695,-0.9368260100234238],-1,false
Round 9: [14:01:03,14:01:09],[176.96327307344703,0.7431411195541102],-1,false
7,Elmo,129.132.201.141,slv7jaay30udi,12:54:12,13:24:14
Round 0: [13:57:29,13:57:38],[43.19809608214611,-21.083921639779845],-1,false
Round 1: [13:57:56,13:58:06],[89.94070842976426,25.658690707838304],-1,false
Round 2: [13:58:18,13:58:26],[20.06811812797709,-44.21389959394887],-1,false
Round 3: [13:58:41,13:58:44],[45.555303157445714,-18.72671456448024],-1,false
Round 4: [13:59:05,13:59:10],[64.14021219770068,-0.14180552422527626],-1,false
Round 5: [13:59:25,13:59:33],[66.1383248983113,1.856307176385343],-1,false
Round 6: [13:59:48,13:59:55],[62.77076090820994,-1.5112568137160167],-1,false
Round 7: [14:00:10,14:00:18],[64.7086773580789,0.426659636152948],-1,false
Round 8: [14:00:30,14:00:47],[65.0263965142989,0.7443787923729417],-1,false
Round 9: [14:01:02,14:01:09],[64.85596383509451,0.5739461131685601],-1,false
8,Kelly Payette,129.132.201.157,zukihjv97wrk9,12:54:12,13:23:26
Round 0: [13:57:27,13:57:32],[-90.84972185661641,2.612766019735318],-1,false
Round 1: [13:57:56,13:58:05],[-90.82597509400458,2.636512782347154],-1,false
Round 2: [13:58:20,13:58:23],[-88.92644448120804,4.536043395143693],-1,false
Round 3: [13:58:42,13:58:45],[-95.77680998070267,-2.3143221043509357],-1,false
Round 4: [13:59:03,13:59:13],[-97.67403175848428,-4.2115438821325455],-1,false
Round 5: [13:59:25,13:59:31],[-94.25857227484497,-0.7960843984932353],-1,false
Round 6: [13:59:49,13:59:55],[-93.87225793659975,-0.40977006024802165],-1,false
Round 7: [14:00:10,14:00:20],[-93.579056494211,-0.1165686178592722],-1,false
Round 8: [14:00:32,14:00:35],[-93.14735298891586,0.3151348874358746],-1,false
Round 9: [14:01:02,14:01:13],[-93.76267250582639,-0.30018462947465707],-1,false
9,07,129.132.201.147,ijaziojhh0k9,12:54:12,13:23:15
