0,Sesadfsd,129.132.201.143,sficoyjy8pvi,13:43:30,13:43:47
Round 0: [13:49:46,13:49:48],[88.46916122362018,153.05435394861487],-1,true
Round 1: [13:49:57,13:49:59],[34.871922601014376,99.45711532600907],-1,true
Round 2: [13:50:05,13:50:07],[-30.592306070029736,33.99288665496496],-1,true
Round 3: [13:50:19,13:50:21],[86.49010537192225,151.07529809691695],-1,true
Round 4: [13:50:27,13:50:29],[-125.39112492464483,-60.80593219965013],-1,true
Round 5: [13:50:35,13:50:37],[27.39887522533536,91.98406795033006],-1,true
Round 6: [13:50:43,13:50:45],[172.51352414488792,-122.90128313011738],-1,true
Round 7: [13:50:51,13:50:53],[-145.83406783640385,-81.24887511140915],-1,true
Round 8: [13:50:56,13:50:58],[129.73348000086844,-165.68132727413686],-1,true
Round 9: [13:51:04,13:51:06],[177.3621952906251,-118.0526119843802],-1,true
1,Asd,129.132.201.144,h2imj64wsif6r,13:43:30,13:44:18
Round 0: [13:49:46,13:49:48],[-154.42348530516028,-12.000893325316497],-1,true
Round 1: [13:49:57,13:49:59],[155.78940032981336,-61.78800769034285],-1,true
Round 2: [13:50:05,13:50:07],[-43.98277474567294,98.43981723417085],-1,true
Round 3: [13:50:19,13:50:21],[-132.83771373331547,9.58487824652832],-1,true
Round 4: [13:50:27,13:50:29],[85.82587592303753,-131.75153209711868],-1,true
Round 5: [13:50:35,13:50:37],[-43.053407929837704,99.36918405000608],-1,true
Round 6: [13:50:43,13:50:45],[92.06009276211262,-125.5173152580436],-1,true
Round 7: [13:50:51,13:50:53],[-91.14958128891885,51.273010690924934],-1,true
Round 8: [13:50:56,13:50:58],[-79.06389900483191,63.35869297501188],-1,true
Round 9: [13:51:04,13:51:06],[3.6185649130493402,146.04115689289313],-1,true
2,Sdfsd,129.132.201.146,rc1qm0bjra4i,13:43:30,13:43:53
Round 0: [13:49:45,13:49:47],[-20.9408859629184,-8.878600523091388],-1,true
Round 1: [13:49:56,13:49:58],[-117.28132029064,-105.21903485081299],-1,true
Round 2: [13:50:04,13:50:06],[168.1823913473636,-179.7553232128094],-1,true
Round 3: [13:50:18,13:50:20],[-32.73946928791702,-20.677183848090003],-1,true
Round 4: [13:50:26,13:50:28],[-67.92233585380018,-55.86005041397316],-1,true
Round 5: [13:50:34,13:50:36],[58.155604898929596,70.2178903387566],-1,true
Round 6: [13:50:45,13:50:47],[27.618804881349206,39.68109032117622],-1,true
Round 7: [13:50:50,13:50:52],[-106.33722555823624,-94.27494011840923],-1,true
Round 8: [13:50:58,13:51:00],[72.27303855121136,84.33532399103836],-1,true
Round 9: [13:51:03,13:51:05],[49.08759995363653,61.14988539346354],-1,true
3,Wert,129.132.201.148,wxjm2i2y2pgb9,13:43:30,13:44:41
Round 0: [13:49:46,13:49:48],[99.25916187465191,156.36445903920452],-1,true
Round 1: [13:49:57,13:49:59],[-48.913637828081846,8.191659336470757],-1,true
Round 2: [13:50:05,13:50:07],[98.3313613012433,155.43665846579592],-1,true
Round 3: [13:50:19,13:50:21],[-93.29863948747516,-36.193342322922554],-1,true
Round 4: [13:50:28,13:50:30],[66.00021349266171,123.10551065721432],-1,true
Round 5: [13:50:36,13:50:38],[28.11944338493049,85.2247405494831],-1,true
Round 6: [13:50:44,13:50:46],[155.59399880468845,-147.30070403075894],-1,true
Round 7: [13:50:52,13:50:54],[143.91511978581548,-158.9795830496319],-1,true
Round 8: [13:50:57,13:50:59],[-50.979688027873635,6.125609136678968],-1,true
Round 9: [13:51:02,13:51:04],[-40.24536014534533,16.859937019207273],-1,true
4,Fuck3,129.132.201.150,6wdn4yb5fusor,13:43:30,13:44:51
Round 0: [13:49:45,13:49:47],[-161.869186302647,-85.91579469207409],-1,true
