0,Cs,129.132.201.150,m0vb4v5yfzuxr,15:00:46,15:01:05
Round 0: [15:35:38,15:35:47],[-11.655083698022683,-7.718260207150868],-1,false
Round 1: [15:36:08,15:36:19],[-5.126826767824334,-1.19000327695252],-1,false
Round 2: [15:36:40,15:36:45],[-4.802947827759882,-0.8661243368880673],-1,false
Round 3: [15:37:03,15:37:08],[-0.12287734414058508,3.813946146731229],-1,false
Round 4: [15:37:26,15:37:30],[-9.540804597879784,-5.60398110700797],-1,false
Round 5: [15:37:54,15:37:59],[-2.4144189022252642,1.52240458864655],-1,false
Round 6: [15:38:14,15:38:20],[-1.1904396379046625,2.746383852967152],-1,false
Round 7: [15:38:47,15:38:55],[-0.43518182464223665,3.5016416662295775],-1,false
Round 8: [15:39:13,15:39:26],[-0.9246563654426898,3.0121671254291247],-1,false
Round 9: [15:39:35,15:39:43],[1.0172208070358988,4.954044297907713],-1,false
1,Alex,129.132.201.142,e6zb9juelv7vi,15:00:46,15:01:11
Round 0: [15:35:37,15:35:50],[168.41467514197163,-28.180725695299486],-1,false
Round 1: [15:36:08,15:36:17],[162.86348199773062,-33.731918839540526],-1,false
Round 2: [15:36:41,15:36:58],[167.09825233567275,-29.49714850159836],-1,false
Round 3: [15:37:04,15:37:23],[162.9061668304164,-33.68923400685469],-1,false
Round 4: [15:37:26,15:37:32],[166.7390957647855,-29.85630507248561],-1,false
Round 5: [15:37:56,15:38:03],[140.72006662284662,-55.87533421442447],-1,false
Round 6: [15:38:12,15:38:14],[165.44367886154154,-31.151721975729572],-1,false
Round 7: [15:38:47,15:38:57],[131.52329044169312,-65.07211039557797],-1,false
Round 8: [15:39:12,15:39:19],[-147.07729526699444,16.327303895734445],-1,false
Round 9: [15:39:34,15:39:41],[-129.08782882696923,34.31677033575966],-1,false
2,Tonja,129.132.201.148,pxso8cfxkcsor,15:00:46,15:01:22
Round 0: [15:35:39,15:35:41],[93.13712293391303,-101.67930298497583],-1,false
Round 1: [15:36:08,15:36:10],[-143.07073922676813,22.112834854342992],-1,false
Round 2: [15:36:40,15:36:49],[-178.45173738984602,-13.268163308734898],-1,false
Round 3: [15:37:04,15:37:08],[-160.70425432646226,4.479319754648856],-1,false
Round 4: [15:37:26,15:37:32],[-156.15737379457696,9.026200286534163],-1,false
Round 5: [15:37:56,15:38:01],[170.44543376540378,-24.370992153485076],-1,false
Round 6: [15:38:13,15:38:16],[-143.24738857320426,21.936185507906856],-1,false
Round 7: [15:38:49,15:38:54],[-122.63119180108461,42.55238228002651],-1,false
Round 8: [15:39:12,15:39:16],[-139.45022229667026,25.733351784440856],-1,false
Round 9: [15:39:34,15:39:43],[-151.90435883616937,13.279215244941753],-1,false
3,Sabine,129.132.201.146,3v7ddnwv1jor,15:00:46,15:01:03
Round 0: [15:35:38,15:35:53],[-70.37923363425651,-14.426806146488083],-1,false
Round 1: [15:36:11,15:36:26],[-57.5145132555213,-1.562085767752876],-1,false
Round 2: [15:36:41,15:36:45],[-55.175492224396436,0.776935263371989],-1,false
Round 3: [15:37:03,15:37:08],[-54.151629869023765,1.8007976187446602],-1,false
Round 4: [15:37:26,15:37:29],[-55.289821102998225,0.6626063847702],-1,false
Round 5: [15:37:56,15:38:00],[-55.77833532650681,0.17409216126161198],-1,false
Round 6: [15:38:12,15:38:23],[-56.129842354562626,-0.1774148667942015],-1,false
Round 7: [15:38:47,15:38:50],[-55.68411302734679,0.2683144604216352],-1,false
Round 8: [15:39:11,15:39:26],[-56.573188865738366,-0.6207613779699415],-1,false
Round 9: [15:39:35,15:39:45],[-55.983071867752095,-0.030644379983669978],-1,false
4,HKSubstance,129.132.201.144,1dykdm5597ldi,15:00:46,15:01:02
Round 0: [15:35:38,15:35:45],[-36.38273956552319,3.402247855577208],-1,false
Round 1: [15:36:09,15:36:16],[-36.39285641538904,3.392131005711356],-1,false
Round 2: [15:36:40,15:36:55],[-40.14771266637846,-0.3627252452780638],-1,false
Round 3: [15:37:04,15:37:12],[-40.157044013992554,-0.3720565928921573],-1,false
Round 4: [15:37:27,15:37:30],[-40.1713126286844,-0.3863252075840009],-1,false
Round 5: [15:37:54,15:37:58],[-40.174199321711306,-0.3892119006109098],-1,false
Round 6: [15:38:13,15:38:34],[-40.58878954112233,-0.8038021200219347],-1,false
Round 7: [15:38:46,15:38:54],[-39.95664969971268,-0.17166227861228123],-1,false
Round 8: [15:39:12,15:39:21],[-39.83941167926565,-0.054424258165255424],-1,false
Round 9: [15:39:36,15:39:42],[-39.75880081355689,0.02618660754350799],-1,false
5,Joris,129.132.201.153,lq1656sx20529,15:00:46,15:02:07
Round 0: [15:35:39,15:36:03],[-65.46456075544435,27.174844863767973],-1,false
Round 1: [15:36:09,15:36:35],[-108.28284515833535,-15.643439539123023],-1,false
Round 2: [15:36:41,15:36:59],[-171.949663507318,-79.31025788810568],-1,false
Round 3: [15:37:02,15:37:21],[-89.94097288837679,2.6984327308355347],-1,false
Round 4: [15:37:27,15:37:52],[-99.17572360888441,-6.536317989672085],-1,false
Round 5: [15:37:55,15:38:01],[-79.94399358248057,12.695412036731753],-1,false
Round 6: [15:38:13,15:38:42],[-113.98659668016467,-21.34719106095234],-1,false
Round 7: [15:38:48,15:39:06],[-95.74662482183068,-3.107219202618353],-1,false
Round 8: [15:39:12,15:39:29],[-99.0063490489375,-6.366943429725168],-1,false
Round 9: [15:39:35,15:39:43],[-93.8654395959613,-1.2260339767489796],-1,false
6,20,129.132.201.160,3ne67mla6ecdi,15:00:46,15:01:09
