0,Errr0,129.132.201.141,nf5zs3euerk9,16:01:04,16:26:06
Round 0: [17:10:29,17:10:51],[47.051580616105014,150.3773105469376],-1,false
Round 1: [17:11:03,17:11:17],[-46.546090132333326,56.779639798499254],-1,false
Round 2: [17:11:35,17:11:46],[-63.59415279502569,39.73157713580689],-1,false
Round 3: [17:12:07,17:12:15],[-90.47812957156782,12.84760035926476],-1,false
Round 4: [17:12:45,17:12:52],[-82.98549575555538,20.340234175277203],-1,false
Round 5: [17:13:22,17:13:31],[-95.57094251924448,7.754787411588097],-1,false
Round 6: [17:13:55,17:13:56],[-89.03529152557613,14.290438405256452],-1,false
Round 7: [17:14:26,17:14:35],[-105.33900252056581,-2.0132725897332335],-1,false
Round 8: [17:14:59,17:15:12],[-109.2372876789139,-5.9115577480813215],-1,false
Round 9: [17:15:30,17:15:38],[-103.75446112981967,-0.42873119898709433],-1,false
1,Mtaphy,129.132.201.143,q2q7wyy5e9udi,16:01:04,16:28:38
Round 0: [17:10:28,17:10:39],[81.31284721198432,5.05631344526256],-1,false
Round 1: [17:11:03,17:11:12],[81.30403597193757,5.047502205215807],-1,false
Round 2: [17:11:33,17:11:44],[84.28942336431251,8.032889597590753],-1,false
Round 3: [17:12:09,17:12:30],[86.87351593739675,10.616982170674987],-1,false
Round 4: [17:12:45,17:12:55],[71.58389139101611,-4.672642375705649],-1,false
Round 5: [17:13:22,17:13:38],[64.99742509611688,-11.259108670604874],-1,false
Round 6: [17:13:53,17:14:03],[79.7902264594308,3.533692692709039],-1,false
Round 7: [17:14:27,17:14:42],[83.37295180825444,7.1164180415326825],-1,false
Round 8: [17:14:57,17:15:17],[-105.82556960409394,177.9178966291843],-1,false
Round 9: [17:15:29,17:15:47],[84.91378929844211,8.657255531720352],-1,false
2,Can,129.132.201.147,ca76i0no5stt9,16:01:04,16:24:43
Round 0: [17:10:29,17:10:36],[-134.3830705664373,170.20216616666454],-1,false
Round 1: [17:11:03,17:11:08],[31.815201410453888,-23.59956185644426],-1,false
Round 2: [17:11:35,17:11:47],[38.850612586302354,-16.564150680595795],-1,false
Round 3: [17:12:09,17:12:17],[34.39578326156294,-21.01898000533521],-1,false
Round 4: [17:12:47,17:12:57],[19.70138219443714,-35.713381072461004],-1,false
Round 5: [17:13:21,17:13:27],[46.01250171726515,-9.402261549632996],-1,false
Round 6: [17:13:54,17:14:08],[54.656370151233595,-0.7583931156645534],-1,false
Round 7: [17:14:26,17:14:46],[55.99072301636653,0.5759597494683817],-1,false
Round 8: [17:14:58,17:15:06],[53.97573297515177,-1.439030291746377],-1,false
Round 9: [17:15:30,17:15:38],[57.875431416742316,2.4606681498441674],-1,false
3,Mari,129.132.201.148,ccnogvoenrk9,16:01:04,16:25:30
Round 0: [17:10:28,17:10:45],[108.74137614584731,-88.96368026920811],-1,false
Round 1: [17:11:03,17:11:08],[67.20509493361008,-130.49996148144533],-1,false
Round 2: [17:11:35,17:11:53],[45.91571738868814,-151.7893390263673],-1,false
Round 3: [17:12:08,17:12:18],[-176.47048094585398,-14.175537360909402],-1,false
Round 4: [17:12:45,17:12:53],[-131.5474634921705,30.747480092774083],-1,false
Round 5: [17:13:21,17:13:27],[132.38839367985153,-65.31666273520386],-1,false
Round 6: [17:13:54,17:14:01],[-157.76839684342232,4.526546741522253],-1,false
Round 7: [17:14:28,17:14:37],[-170.3439295606679,-8.048985975723326],-1,false
Round 8: [17:14:58,17:15:02],[162.8758863780579,-34.82917003699754],-1,false
Round 9: [17:15:29,17:15:34],[-150.32035252874653,11.97459105619805],-1,false
4,Crouch,129.132.201.146,li8a1eg9qw7b9,16:01:04,16:25:03
Round 0: [17:10:29,17:10:38],[-89.94120917996115,38.18852291351489],-1,false
Round 1: [17:11:05,17:11:13],[-132.87404860406713,-4.744316510591091],-1,false
Round 2: [17:11:34,17:11:53],[-136.80196485259637,-8.672232759120334],-1,false
Round 3: [17:12:08,17:12:20],[-130.99036044393597,-2.8606283504599332],-1,false
Round 4: [17:12:47,17:12:58],[-129.02577843801186,-0.8960463445358187],-1,false
Round 5: [17:13:19,17:13:27],[-129.0316096863313,-0.9018775928552714],-1,false
Round 6: [17:13:54,17:14:03],[-127.10884481541201,1.0208872780640235],-1,false
Round 7: [17:14:27,17:14:38],[-128.4282856298504,-0.29855353637435655],-1,false
Round 8: [17:14:59,17:15:11],[-128.4306272003676,-0.3008951068915735],-1,false
Round 9: [17:15:29,17:15:54],[-128.4957794966992,-0.3660474032231775],-1,false
5,Cesar,129.132.201.144,yy83zestt9,16:01:04,16:24:52
Round 0: [17:10:28,17:10:40],[57.99458091597455,18.69039626041681],-1,false
Round 1: [17:11:04,17:11:18],[70.26043252026211,30.956247864704373],-1,false
Round 2: [17:11:33,17:11:38],[40.93846226027605,1.6342776047183065],-1,false
Round 3: [17:12:08,17:12:25],[35.59314949391424,-3.711035161643501],-1,false
Round 4: [17:12:46,17:12:58],[43.62314362426266,4.318958968704919],-1,false
Round 5: [17:13:22,17:13:28],[38.72434972193389,-0.5798349336238502],-1,false
Round 6: [17:13:55,17:14:08],[36.77500435847445,-2.5291802970832933],-1,false
Round 7: [17:14:26,17:14:35],[40.71188083133354,1.407696175775797],-1,false
Round 8: [17:14:59,17:15:06],[38.75665244876516,-0.5475322067925816],-1,false
Round 9: [17:15:30,17:15:41],[37.78558834780769,-1.5185963077500517],-1,false
6,Koekteng,129.132.201.154,tyz7nbr93haor,16:01:04,16:26:01
Round 0: [17:10:28,17:10:41],[-179.88540802211813,151.41850365925725],-1,false
Round 1: [17:11:03,17:11:17],[91.1274687208538,62.431380402229195],-1,false
Round 2: [17:11:35,17:11:55],[138.28247064573648,109.58638232711188],-1,false
Round 3: [17:12:07,17:12:13],[43.566515769343724,14.870427450719117],-1,false
Round 4: [17:12:46,17:13:13],[37.08292796653011,8.3868396479055],-1,false
Round 5: [17:13:22,17:13:50],[35.20488755239831,6.508799233773704],-1,false
Round 6: [17:13:53,17:14:21],[33.15859542183109,4.46250710320648],-1,false
Round 7: [17:14:27,17:14:51],[40.09568196428039,11.39959364565578],-1,false
Round 8: [17:14:57,17:15:25],[29.296787591559003,0.6006992729343956],-1,false
Round 9: [17:15:31,17:16:00],[26.19034105249906,-2.505747266125546],-1,false
7,Lowinski,129.132.201.145,9me1uq7xskyb9,16:01:04,16:28:10
Round 0: [17:10:29,17:10:37],[-52.714675778667434,141.28268869224152],-1,false
Round 1: [17:11:04,17:11:11],[38.925663285746374,-127.07697224334467],-1,false
Round 2: [17:11:35,17:11:46],[-91.3005225966044,102.6968418743046],-1,false
Round 3: [17:12:07,17:12:13],[-125.06039400687877,68.9369704640302],-1,false
Round 4: [17:12:46,17:13:04],[-146.98628324933313,47.011081221575864],-1,false
Round 5: [17:13:22,17:13:32],[-171.2488874556584,22.748477015250558],-1,false
Round 6: [17:13:53,17:14:10],[170.86127426056436,4.85863873147332],-1,false
Round 7: [17:14:25,17:14:40],[152.76170048210565,-13.240935046985385],-1,false
Round 8: [17:14:58,17:15:05],[171.68985038093751,5.687214851846477],-1,false
Round 9: [17:15:29,17:15:43],[175.52150471071218,9.518869181621142],-1,false
8,Laura S,129.132.201.151,zgxhxbja714i,16:01:04,16:24:36
Round 0: [17:10:27,17:10:40],[-156.16529502253104,-63.20336789781348],-1,false
Round 1: [17:11:04,17:11:10],[-123.77022692673518,-30.808299802017615],-1,false
Round 2: [17:11:34,17:11:41],[-115.4432794886034,-22.481352363885833],-1,false
Round 3: [17:12:08,17:12:14],[-118.72662246419895,-25.764695339481392],-1,false
Round 4: [17:12:47,17:12:54],[36.18174206871861,129.14366919343618],-1,false
Round 5: [17:13:21,17:13:30],[-121.7618684145654,-28.799941289847837],-1,false
Round 6: [17:13:54,17:14:06],[-124.56102859116645,-31.599101466448886],-1,false
Round 7: [17:14:27,17:14:34],[-123.00655375245415,-30.04462662773659],-1,false
Round 8: [17:14:58,17:15:02],[-120.6670714506443,-27.70514432592674],-1,false
Round 9: [17:15:29,17:15:34],[-118.35332543929614,-25.39139831457858],-1,false
9,Minh,129.132.201.149,rhhycpzr27qfr,16:01:04,16:27:43
Round 0: [17:10:29,17:10:57],[-142.15085036850377,30.799804044972376],-1,false
Round 1: [17:11:03,17:11:12],[-136.13979798108474,36.810856432391404],-1,false
Round 2: [17:11:33,17:11:41],[-155.93767498216982,17.01297943130632],-1,false
Round 3: [17:12:08,17:12:16],[-161.6676146157138,11.283039797762342],-1,false
Round 4: [17:12:46,17:12:59],[-154.70067308716546,18.24998132631069],-1,false
Round 5: [17:13:20,17:13:30],[-169.4900602236651,3.4605941898110473],-1,false
Round 6: [17:13:54,17:14:13],[-169.33562847634067,3.6150259371354707],-1,false
Round 7: [17:14:25,17:14:33],[-170.287914165218,2.6627402482581317],-1,false
Round 8: [17:14:57,17:15:10],[-168.39774886338265,4.552905550093499],-1,false
Round 9: [17:15:28,17:15:42],[-166.27931263939723,6.671341774078911],-1,false
10,Daxa,129.132.201.150,9au2vzot21emi,16:01:04,16:24:32
Round 0: [17:10:29,17:10:33],[160.6239345037766,-16.92612675588353],-1,false
Round 1: [17:11:03,17:11:09],[158.42470665996944,-19.125354599690695],-1,false
Round 2: [17:11:33,17:11:37],[161.13685919028526,-16.413202069374876],-1,false
Round 3: [17:12:07,17:12:13],[163.69162023416598,-13.858441025494159],-1,false
Round 4: [17:12:47,17:12:52],[152.7944640881715,-24.75559717148863],-1,false
Round 5: [17:13:19,17:13:24],[-170.73344484754907,11.716493892790822],-1,false
Round 6: [17:13:54,17:13:57],[179.22573116492592,1.675669905265778],-1,false
Round 7: [17:14:27,17:14:31],[177.19238602945336,-0.35767523020678027],-1,false
Round 8: [17:14:58,17:15:02],[178.15426084018662,0.6041995805264833],-1,false
Round 9: [17:15:29,17:15:34],[176.88973958726876,-0.6603216723913761],-1,false
11,Chengyi hou,129.132.201.156,rvxwafqd7vi,16:01:04,16:27:03
Round 0: [17:10:28,17:10:36],[-90.53500386821985,-52.43125258217585],-1,false
Round 1: [17:11:03,17:11:12],[-59.791538358226404,-21.68778707218241],-1,false
Round 2: [17:11:33,17:11:44],[-56.22665594454751,-18.122904658503515],-1,false
Round 3: [17:12:08,17:12:40],[-158.65174734033644,-120.54799605429244],-1,true
Round 4: [17:12:46,17:12:48],[-59.50742808787405,-21.403676801830052],-1,false
Round 5: [17:13:21,17:13:27],[-47.30760001185525,-9.203848725811255],-1,false
Round 6: [17:13:54,17:13:57],[-50.97843357806467,-12.874682292020672],-1,false
Round 7: [17:14:27,17:14:39],[-39.857866061404394,-1.7541147753603994],-1,false
Round 8: [17:14:57,17:15:06],[-33.80510916280403,4.298642123239965],-1,false
Round 9: [17:15:30,17:15:57],[-27.426989024625087,10.676762261418908],-1,false
12,17,129.132.201.157,1wyu28aq69a4i,16:01:04,16:24:40
Round 0: [17:10:27,17:10:30],[-157.86625707735922,119.76597979652803],-1,false
Round 1: [17:11:03,17:11:18],[166.46026141969656,84.0924982935838],-1,false
Round 2: [17:11:36,17:11:40],[-145.9624764355137,131.66976043837354],-1,false
Round 3: [17:12:07,17:12:20],[-170.61667816280723,107.01555871108002],-1,false
Round 4: [17:12:47,17:12:52],[163.10965450629024,80.74189138017748],-1,false
Round 5: [17:13:19,17:13:22],[123.30103852608354,40.93327539997078],-1,false
Round 6: [17:13:53,17:13:56],[91.26373965558408,8.895976529471312],-1,false
Round 7: [17:14:27,17:14:30],[67.55055046103953,-14.817212665073228],-1,false
Round 8: [17:14:57,17:15:01],[73.32954605921117,-9.038217066901595],-1,false
Round 9: [17:15:28,17:15:31],[75.53195267618526,-6.835810449927507],-1,false
13,Vika,129.132.201.155,o960vt0w45cdi,16:01:04,16:26:00
Round 0: [17:10:27,17:10:58],[-23.92722294665873,-37.45721884159535],-1,true
Round 1: [17:11:04,17:11:21],[-23.939457358917796,-37.46945325385441],-1,false
Round 2: [17:11:36,17:12:02],[-23.932086226985305,-37.462082121921924],-1,false
Round 3: [17:12:08,17:12:23],[-23.947436901014164,-37.47743279595078],-1,false
Round 4: [17:12:47,17:12:58],[-23.945243162913542,-37.47523905785016],-1,false
Round 5: [17:13:19,17:13:40],[-23.946282313917163,-37.47627820885378],-1,false
Round 6: [17:13:55,17:14:20],[-23.953589895815885,-37.4835857907525],-1,false
Round 7: [17:14:26,17:14:46],[-23.95894796178976,-37.48894385672638],-1,false
Round 8: [17:14:58,17:15:21],[-23.991807171562424,-37.52180306649904],-1,false
Round 9: [17:15:30,17:15:41],[-24.004226792389574,-37.53422268732619],-1,false
14,Dimitra,129.132.201.152,1tmxro8zg2e29,16:01:04,16:27:24
Round 0: [17:10:29,17:10:34],[90.36773708880719,-23.80577870073172],-1,false
Round 1: [17:11:04,17:11:14],[115.30206301528162,1.1285472257427074],-1,false
Round 2: [17:11:35,17:11:40],[115.30206301528162,1.1285472257427074],-1,false
Round 3: [17:12:07,17:12:14],[115.37501476034456,1.2014989708056447],-1,false
Round 4: [17:12:47,17:12:50],[116.56572679973665,2.392211010197741],-1,false
Round 5: [17:13:20,17:13:23],[116.56572679973665,2.392211010197741],-1,false
Round 6: [17:13:54,17:14:02],[114.78613483202314,0.6126190424842264],-1,false
Round 7: [17:14:26,17:14:29],[113.7581169017676,-0.4153988877713175],-1,false
Round 8: [17:14:59,17:15:02],[115.22234873581309,1.0488329462741746],-1,false
Round 9: [17:15:29,17:15:40],[116.87695894649566,2.7034431569567516],-1,false
15,Til,129.132.201.158,bu8w2yo8q6w29,16:01:04,16:25:14
Round 0: [17:10:28,17:10:32],[56.02367842154439,118.04206641556135],-1,false
Round 1: [17:11:05,17:11:09],[30.368722929610637,92.3871109236276],-1,false
Round 2: [17:11:33,17:11:39],[133.2085555081411,-164.77305649784194],-1,false
Round 3: [17:12:09,17:12:12],[31.315903548217815,93.33429154223478],-1,false
Round 4: [17:12:45,17:12:50],[-33.00857787846811,29.00981011554886],-1,false
Round 5: [17:13:20,17:13:26],[-51.69160722805777,10.3267807659592],-1,false
Round 6: [17:13:53,17:13:56],[-46.58739909978606,15.430988894230907],-1,false
Round 7: [17:14:26,17:14:31],[-64.44228196301576,-2.42389396899879],-1,false
Round 8: [17:14:58,17:15:03],[-66.88774213547863,-4.869354141461663],-1,false
Round 9: [17:15:30,17:15:38],[-65.55113465038389,-3.5327466563669176],-1,false
16,dhentzen,129.132.201.160,kqffvjqncdi,16:01:04,16:25:57
Round 0: [17:10:27,17:10:35],[157.3710138735102,-170.60499297258917],-1,false
Round 1: [17:11:05,17:11:13],[1.4765102069877807,33.500503360888416],-1,false
Round 2: [17:11:34,17:11:51],[36.38199373804207,68.4059868919427],-1,false
Round 3: [17:12:06,17:12:11],[-82.65524736204483,-50.6312542081442],-1,false
Round 4: [17:12:44,17:12:50],[-43.64809569491177,-11.624102541011133],-1,false
Round 5: [17:13:20,17:13:28],[-36.50028779881498,-4.476294644914347],-1,false
Round 6: [17:13:55,17:14:03],[-27.514098510383167,4.509894643517466],-1,false
Round 7: [17:14:27,17:14:39],[-33.21102907978791,-1.1870359258872796],-1,false
Round 8: [17:14:57,17:15:12],[-37.40856330001511,-5.384570146114477],-1,false
Round 9: [17:15:30,17:15:40],[-31.583686788831837,0.44030636506879617],-1,false
17,Ivukad,129.132.201.153,3qjjrjwwb3xr,16:01:04,16:24:23
Round 0: [17:10:29,17:10:39],[-132.99410107837107,19.289762730675932],-1,false
Round 1: [17:11:03,17:11:12],[156.7480772548935,-50.96805893605949],-1,false
Round 2: [17:11:36,17:11:45],[-104.46126679640642,47.822597012640585],-1,false
Round 3: [17:12:09,17:12:16],[-143.9326245792577,8.351239229789314],-1,false
Round 4: [17:12:46,17:12:52],[-140.290085761468,11.993778047579013],-1,false
Round 5: [17:13:20,17:13:28],[-143.55208338624632,8.731780422800682],-1,false
Round 6: [17:13:55,17:14:03],[-138.27115154256794,14.01271226647907],-1,false
Round 7: [17:14:27,17:14:49],[-145.94493905898182,6.338924750065189],-1,false
Round 8: [17:14:58,17:15:04],[-154.59904072366433,-2.315176914617325],-1,false
Round 9: [17:15:28,17:15:51],[-151.69570853122855,0.5881552778184584],-1,false
18,Blubb,129.132.201.159,canovcnylow29,16:01:04,16:25:34
Round 0: [17:10:28,17:10:38],[120.8457960353645,-101.19300581986431],-1,false
Round 1: [17:11:05,17:11:10],[-167.69626202553076,-29.735063880759583],-1,false
Round 2: [17:11:34,17:11:40],[-154.51835655733908,-16.5571584125679],-1,false
Round 3: [17:12:07,17:12:11],[-127.88043240842934,10.080765736341831],-1,false
Round 4: [17:12:47,17:12:53],[-105.00543714518865,32.95576099958252],-1,false
Round 5: [17:13:20,17:13:32],[-135.38159961565572,2.579598529115458],-1,false
Round 6: [17:13:53,17:14:05],[-131.91314691055348,6.048051234217695],-1,false
Round 7: [17:14:26,17:14:37],[-139.5742601525851,-1.6130620078139373],-1,false
Round 8: [17:14:58,17:15:09],[-137.8744729576133,0.08672518715786737],-1,false
Round 9: [17:15:30,17:15:41],[-137.87597995514398,0.08521818962719863],-1,false
19,Celebele,129.132.201.142,byl7syvi,16:01:05,16:24:20
Round 0: [17:10:28,17:10:37],[-133.21531733432673,-158.70743759207747],-1,false
Round 1: [17:11:04,17:11:08],[112.50598347747297,87.01386321972224],-1,false
Round 2: [17:11:35,17:11:39],[1.7399025783458406,-23.75221767940489],-1,false
Round 3: [17:12:06,17:12:13],[-40.15312794012641,-65.64524819787714],-1,false
Round 4: [17:12:46,17:12:52],[-17.841511258101676,-43.3336315158524],-1,false
Round 5: [17:13:22,17:13:32],[-32.88513675841839,-58.377257016169125],-1,false
Round 6: [17:13:53,17:13:58],[-8.595908451095559,-34.08802870884629],-1,false
Round 7: [17:14:25,17:14:34],[-64.95776218983501,-90.44988244758574],-1,false
Round 8: [17:14:58,17:15:08],[12.128021508512496,-13.364098749238234],-1,false
Round 9: [17:15:29,17:15:36],[33.65689342632042,8.164773168569692],-1,false
